,ID,x,auc,funcId,kind,fid,iid,dim
43,DiagonalCMA,4000,0.884637843137255,0.0,Affine,0,0,2
44,DiagonalCMA,10000,0.949930823529412,0.0,Affine,0,0,5
43,DifferentialEvolution,4000,0.678750490196078,0.0,Affine,0,0,2
44,DifferentialEvolution,10000,0.495295058823529,0.0,Affine,0,0,5
43,modcma,4002,0.939178107024919,0.0,Affine,0,0,2
44,modcma,10000,0.926216960784314,0.0,Affine,0,0,5
43,modde,4000,0.759352058823529,0.0,Affine,0,0,2
44,modde,10000,0.621546352941176,0.0,Affine,0,0,5
43,RCobyla,4000,0.380383823529412,0.0,Affine,0,0,2
44,RCobyla,10000,0.368542411764706,0.0,Affine,0,0,5
43,DiagonalCMA,4000,0.313873725490196,100.0,Affine,100,0,2
44,DiagonalCMA,10000,0.264664725490196,100.0,Affine,100,0,5
43,DifferentialEvolution,4000,0.477136176470588,100.0,Affine,100,0,2
44,DifferentialEvolution,10000,0.302840078431373,100.0,Affine,100,0,5
43,modcma,4002,0.508974875307444,100.0,Affine,100,0,2
44,modcma,10000,0.408840647058824,100.0,Affine,100,0,5
43,modde,4000,0.608843774509804,100.0,Affine,100,0,2
44,modde,10000,0.372923078431373,100.0,Affine,100,0,5
43,RCobyla,4000,0.274245392156863,100.0,Affine,100,0,2
44,RCobyla,10000,0.162944980392157,100.0,Affine,100,0,5
43,DiagonalCMA,4000,0.742074362745098,101.0,Affine,101,0,2
44,DiagonalCMA,10000,0.191415411764706,101.0,Affine,101,0,5
43,DifferentialEvolution,4000,0.632688284313725,101.0,Affine,101,0,2
44,DifferentialEvolution,10000,0.319009254901961,101.0,Affine,101,0,5
43,modcma,4002,0.925164868546119,101.0,Affine,101,0,2
44,modcma,10000,0.636044392156863,101.0,Affine,101,0,5
43,modde,4000,0.693601176470588,101.0,Affine,101,0,2
44,modde,10000,0.373787196078431,101.0,Affine,101,0,5
43,RCobyla,4000,0.318527892156863,101.0,Affine,101,0,2
44,RCobyla,10000,0.192818137254902,101.0,Affine,101,0,5
43,DiagonalCMA,4000,0.825396764705882,102.0,Affine,102,0,2
44,DiagonalCMA,10000,0.740580333333333,102.0,Affine,102,0,5
43,DifferentialEvolution,4000,0.488908235294118,102.0,Affine,102,0,2
44,DifferentialEvolution,10000,0.326778431372549,102.0,Affine,102,0,5
43,modcma,4002,0.904766734279919,102.0,Affine,102,0,2
44,modcma,10000,0.689329803921569,102.0,Affine,102,0,5
43,modde,4000,0.631988382352941,102.0,Affine,102,0,2
44,modde,10000,0.453620823529412,102.0,Affine,102,0,5
43,RCobyla,4000,0.314716715686274,102.0,Affine,102,0,2
44,RCobyla,10000,0.219392607843137,102.0,Affine,102,0,5
43,DiagonalCMA,4000,0.934011617647059,103.0,Affine,103,0,2
44,DiagonalCMA,10000,0.239456784313725,103.0,Affine,103,0,5
43,DifferentialEvolution,4000,0.52659362745098,103.0,Affine,103,0,2
44,DifferentialEvolution,10000,0.333489333333333,103.0,Affine,103,0,5
43,modcma,4002,0.954139547873122,103.0,Affine,103,0,2
44,modcma,10000,0.902300490196078,103.0,Affine,103,0,5
43,modde,4000,0.654882892156863,103.0,Affine,103,0,2
44,modde,10000,0.38959962745098,103.0,Affine,103,0,5
43,RCobyla,4000,0.537298970588235,103.0,Affine,103,0,2
44,RCobyla,10000,0.207626588235294,103.0,Affine,103,0,5
43,DiagonalCMA,4000,0.789569215686274,104.0,Affine,104,0,2
44,DiagonalCMA,10000,0.745006235294118,104.0,Affine,104,0,5
43,DifferentialEvolution,4000,0.698169705882353,104.0,Affine,104,0,2
44,DifferentialEvolution,10000,0.485138901960784,104.0,Affine,104,0,5
43,modcma,4002,0.699061351677103,104.0,Affine,104,0,2
44,modcma,10000,0.773831607843137,104.0,Affine,104,0,5
43,modde,4000,0.748020833333333,104.0,Affine,104,0,2
44,modde,10000,0.619915254901961,104.0,Affine,104,0,5
43,RCobyla,4000,0.387450343137255,104.0,Affine,104,0,2
44,RCobyla,10000,0.399481784313725,104.0,Affine,104,0,5
43,DiagonalCMA,4000,0.346248823529412,105.0,Affine,105,0,2
44,DiagonalCMA,10000,0.455228862745098,105.0,Affine,105,0,5
43,DifferentialEvolution,4000,0.599240833333333,105.0,Affine,105,0,2
44,DifferentialEvolution,10000,0.399275019607843,105.0,Affine,105,0,5
43,modcma,4002,0.913231962450147,105.0,Affine,105,0,2
44,modcma,10000,0.716703235294118,105.0,Affine,105,0,5
43,modde,4000,0.702021617647059,105.0,Affine,105,0,2
44,modde,10000,0.495200568627451,105.0,Affine,105,0,5
43,RCobyla,4000,0.302109362745098,105.0,Affine,105,0,2
44,RCobyla,10000,0.420841803921569,105.0,Affine,105,0,5
43,DiagonalCMA,4000,0.578018725490196,106.0,Affine,106,0,2
44,DiagonalCMA,10000,0.438768764705882,106.0,Affine,106,0,5
43,DifferentialEvolution,4000,0.545198921568627,106.0,Affine,106,0,2
44,DifferentialEvolution,10000,0.40698831372549,106.0,Affine,106,0,5
43,modcma,4002,0.933636613066016,106.0,Affine,106,0,2
44,modcma,10000,0.923594274509804,106.0,Affine,106,0,5
43,modde,4000,0.604662549019608,106.0,Affine,106,0,2
44,modde,10000,0.488110803921569,106.0,Affine,106,0,5
43,RCobyla,4000,0.458617745098039,106.0,Affine,106,0,2
44,RCobyla,10000,0.368474745098039,106.0,Affine,106,0,5
43,DiagonalCMA,4000,0.717722009803922,107.0,Affine,107,0,2
44,DiagonalCMA,10000,0.932999490196079,107.0,Affine,107,0,5
43,DifferentialEvolution,4000,0.665112990196078,107.0,Affine,107,0,2
44,DifferentialEvolution,10000,0.498157039215686,107.0,Affine,107,0,5
43,modcma,4002,0.76467839609607,107.0,Affine,107,0,2
44,modcma,10000,0.889825941176471,107.0,Affine,107,0,5
43,modde,4000,0.726753235294118,107.0,Affine,107,0,2
44,modde,10000,0.626161,107.0,Affine,107,0,5
43,RCobyla,4000,0.3738175,107.0,Affine,107,0,2
44,RCobyla,10000,0.330969803921569,107.0,Affine,107,0,5
43,DiagonalCMA,4000,0.365500833333333,108.0,Affine,108,0,2
44,DiagonalCMA,10000,0.242231176470588,108.0,Affine,108,0,5
43,DifferentialEvolution,4000,0.452907352941177,108.0,Affine,108,0,2
44,DifferentialEvolution,10000,0.221028941176471,108.0,Affine,108,0,5
43,modcma,4002,0.469366738199528,108.0,Affine,108,0,2
44,modcma,10000,0.236827901960784,108.0,Affine,108,0,5
43,modde,4000,0.633870784313725,108.0,Affine,108,0,2
44,modde,10000,0.221193039215686,108.0,Affine,108,0,5
43,RCobyla,4000,0.189216225490196,108.0,Affine,108,0,2
44,RCobyla,10000,0.153338058823529,108.0,Affine,108,0,5
43,DiagonalCMA,4000,0.380287745098039,109.0,Affine,109,0,2
44,DiagonalCMA,10000,0.292232784313726,109.0,Affine,109,0,5
43,DifferentialEvolution,4000,0.643107156862745,109.0,Affine,109,0,2
44,DifferentialEvolution,10000,0.37836568627451,109.0,Affine,109,0,5
43,modcma,4002,0.916114491773721,109.0,Affine,109,0,2
44,modcma,10000,0.847646764705882,109.0,Affine,109,0,5
43,modde,4000,0.735055637254902,109.0,Affine,109,0,2
44,modde,10000,0.563444411764706,109.0,Affine,109,0,5
43,RCobyla,4000,0.196138578431373,109.0,Affine,109,0,2
44,RCobyla,10000,0.14102737254902,109.0,Affine,109,0,5
43,DiagonalCMA,4000,0.91893612745098,10.0,Affine,10,0,2
44,DiagonalCMA,10000,0.963411666666667,10.0,Affine,10,0,5
43,DifferentialEvolution,4000,0.736604264705882,10.0,Affine,10,0,2
44,DifferentialEvolution,10000,0.488225960784314,10.0,Affine,10,0,5
43,modcma,4002,0.956354518819022,10.0,Affine,10,0,2
44,modcma,10000,0.961285156862745,10.0,Affine,10,0,5
43,modde,4000,0.783072009803922,10.0,Affine,10,0,2
44,modde,10000,0.636741333333333,10.0,Affine,10,0,5
43,RCobyla,4000,0.481089852941177,10.0,Affine,10,0,2
44,RCobyla,10000,0.708405431372549,10.0,Affine,10,0,5
43,DiagonalCMA,4000,0.768001421568627,110.0,Affine,110,0,2
44,DiagonalCMA,10000,0.491104725490196,110.0,Affine,110,0,5
43,DifferentialEvolution,4000,0.929800735294118,110.0,Affine,110,0,2
44,DifferentialEvolution,10000,0.549778274509804,110.0,Affine,110,0,5
43,modcma,4002,0.738934160370795,110.0,Affine,110,0,2
44,modcma,10000,0.849941411764706,110.0,Affine,110,0,5
43,modde,4000,0.881279362745098,110.0,Affine,110,0,2
44,modde,10000,0.684670470588235,110.0,Affine,110,0,5
43,RCobyla,4000,0.370891274509804,110.0,Affine,110,0,2
44,RCobyla,10000,0.231782725490196,110.0,Affine,110,0,5
43,DiagonalCMA,4000,0.288332205882353,111.0,Affine,111,0,2
44,DiagonalCMA,10000,0.209502529411765,111.0,Affine,111,0,5
43,DifferentialEvolution,4000,0.453638774509804,111.0,Affine,111,0,2
44,DifferentialEvolution,10000,0.245211941176471,111.0,Affine,111,0,5
43,modcma,4002,0.430896855493822,111.0,Affine,111,0,2
44,modcma,10000,0.243421823529412,111.0,Affine,111,0,5
43,modde,4000,0.503478284313726,111.0,Affine,111,0,2
44,modde,10000,0.302466882352941,111.0,Affine,111,0,5
43,RCobyla,4000,0.204863039215686,111.0,Affine,111,0,2
44,RCobyla,10000,0.198987078431373,111.0,Affine,111,0,5
43,DiagonalCMA,4000,0.938656862745098,112.0,Affine,112,0,2
44,DiagonalCMA,10000,0.86954437254902,112.0,Affine,112,0,5
43,DifferentialEvolution,4000,0.869021274509804,112.0,Affine,112,0,2
44,DifferentialEvolution,10000,0.541501039215686,112.0,Affine,112,0,5
43,modcma,4002,0.93461210571185,112.0,Affine,112,0,2
44,modcma,10000,0.94934862745098,112.0,Affine,112,0,5
43,modde,4000,0.879899656862745,112.0,Affine,112,0,2
44,modde,10000,0.708293843137255,112.0,Affine,112,0,5
43,RCobyla,4000,0.553876323529412,112.0,Affine,112,0,2
44,RCobyla,10000,0.310519431372549,112.0,Affine,112,0,5
43,DiagonalCMA,4000,0.17913568627451,113.0,Affine,113,0,2
44,DiagonalCMA,10000,0.281176784313725,113.0,Affine,113,0,5
43,DifferentialEvolution,4000,0.613973970588235,113.0,Affine,113,0,2
44,DifferentialEvolution,10000,0.310498215686275,113.0,Affine,113,0,5
43,modcma,4002,0.880169719062038,113.0,Affine,113,0,2
44,modcma,10000,0.529194352941176,113.0,Affine,113,0,5
43,modde,4000,0.685368921568627,113.0,Affine,113,0,2
44,modde,10000,0.49247268627451,113.0,Affine,113,0,5
43,RCobyla,4000,0.143526911764706,113.0,Affine,113,0,2
44,RCobyla,10000,0.155633490196078,113.0,Affine,113,0,5
43,DiagonalCMA,4000,0.951196470588235,114.0,Affine,114,0,2
44,DiagonalCMA,10000,0.939130117647059,114.0,Affine,114,0,5
43,DifferentialEvolution,4000,0.752500392156863,114.0,Affine,114,0,2
44,DifferentialEvolution,10000,0.481977176470588,114.0,Affine,114,0,5
43,modcma,4002,0.966329335332334,114.0,Affine,114,0,2
44,modcma,10000,0.96473037254902,114.0,Affine,114,0,5
43,modde,4000,0.785549215686274,114.0,Affine,114,0,2
44,modde,10000,0.666290549019608,114.0,Affine,114,0,5
43,RCobyla,4000,0.378245049019608,114.0,Affine,114,0,2
44,RCobyla,10000,0.345489960784314,114.0,Affine,114,0,5
43,DiagonalCMA,4000,0.269341764705882,115.0,Affine,115,0,2
44,DiagonalCMA,10000,0.202008098039216,115.0,Affine,115,0,5
